subj,trial,object_response,shape,texture,imagename
AlexNet,1,knife,airplane,bear,airplane1-bear18.JPEG
AlexNet,2,chair,airplane,bicycle,airplane1-bicycle7.JPEG
AlexNet,3,boat,airplane,bird,airplane1-bird16.JPEG
AlexNet,4,chair,airplane,boat,airplane1-boat16.JPEG
AlexNet,5,knife,airplane,bottle,airplane1-bottle5.JPEG
AlexNet,6,airplane,airplane,car,airplane1-car3.JPEG
AlexNet,7,cat,airplane,cat,airplane1-cat13.JPEG
AlexNet,8,clock,airplane,chair,airplane1-chair16.JPEG
AlexNet,9,keyboard,airplane,clock,airplane1-clock12.JPEG
AlexNet,10,knife,airplane,dog,airplane1-dog16.JPEG
AlexNet,11,keyboard,airplane,elephant,airplane1-elephant18.JPEG
AlexNet,12,chair,airplane,keyboard,airplane1-keyboard10.JPEG
AlexNet,13,airplane,airplane,knife,airplane1-knife2.JPEG
AlexNet,14,chair,airplane,oven,airplane1-oven5.JPEG
AlexNet,15,knife,airplane,truck,airplane1-truck10.JPEG
AlexNet,16,airplane,airplane,bear,airplane10-bear4.JPEG
AlexNet,17,airplane,airplane,bicycle,airplane10-bicycle12.JPEG
AlexNet,18,airplane,airplane,bird,airplane10-bird2.JPEG
AlexNet,19,airplane,airplane,boat,airplane10-boat17.JPEG
AlexNet,20,airplane,airplane,bottle,airplane10-bottle13.JPEG
AlexNet,21,airplane,airplane,car,airplane10-car17.JPEG
AlexNet,22,airplane,airplane,cat,airplane10-cat17.JPEG
AlexNet,23,airplane,airplane,chair,airplane10-chair12.JPEG
AlexNet,24,airplane,airplane,clock,airplane10-clock1.JPEG
AlexNet,25,airplane,airplane,dog,airplane10-dog14.JPEG
AlexNet,26,elephant,airplane,elephant,airplane10-elephant14.JPEG
AlexNet,27,airplane,airplane,keyboard,airplane10-keyboard11.JPEG
AlexNet,28,airplane,airplane,knife,airplane10-knife17.JPEG
AlexNet,29,oven,airplane,oven,airplane10-oven9.JPEG
AlexNet,30,airplane,airplane,truck,airplane10-truck11.JPEG
AlexNet,31,cat,airplane,bear,airplane11-bear1.JPEG
AlexNet,32,bicycle,airplane,bicycle,airplane11-bicycle12.JPEG
AlexNet,33,cat,airplane,bird,airplane11-bird18.JPEG
AlexNet,34,airplane,airplane,boat,airplane11-boat7.JPEG
AlexNet,35,bottle,airplane,bottle,airplane11-bottle18.JPEG
AlexNet,36,knife,airplane,car,airplane11-car16.JPEG
AlexNet,37,airplane,airplane,cat,airplane11-cat15.JPEG
AlexNet,38,airplane,airplane,chair,airplane11-chair5.JPEG
AlexNet,39,airplane,airplane,clock,airplane11-clock11.JPEG
AlexNet,40,bird,airplane,dog,airplane11-dog12.JPEG
AlexNet,41,cat,airplane,elephant,airplane11-elephant3.JPEG
AlexNet,42,knife,airplane,keyboard,airplane11-keyboard2.JPEG
AlexNet,43,airplane,airplane,knife,airplane11-knife10.JPEG
AlexNet,44,airplane,airplane,oven,airplane11-oven16.JPEG
AlexNet,45,airplane,airplane,truck,airplane11-truck15.JPEG
AlexNet,46,bear,airplane,bear,airplane12-bear4.JPEG
AlexNet,47,clock,airplane,bicycle,airplane12-bicycle7.JPEG
AlexNet,48,airplane,airplane,bird,airplane12-bird11.JPEG
AlexNet,49,airplane,airplane,boat,airplane12-boat11.JPEG
AlexNet,50,airplane,airplane,bottle,airplane12-bottle13.JPEG
AlexNet,51,airplane,airplane,car,airplane12-car1.JPEG
AlexNet,52,bear,airplane,cat,airplane12-cat11.JPEG
AlexNet,53,knife,airplane,chair,airplane12-chair18.JPEG
AlexNet,54,airplane,airplane,clock,airplane12-clock20.JPEG
AlexNet,55,airplane,airplane,dog,airplane12-dog5.JPEG
AlexNet,56,bear,airplane,elephant,airplane12-elephant7.JPEG
AlexNet,57,clock,airplane,keyboard,airplane12-keyboard15.JPEG
AlexNet,58,clock,airplane,knife,airplane12-knife12.JPEG
AlexNet,59,bear,airplane,oven,airplane12-oven19.JPEG
AlexNet,60,airplane,airplane,truck,airplane12-truck17.JPEG
AlexNet,61,airplane,airplane,bear,airplane13-bear20.JPEG
AlexNet,62,knife,airplane,bicycle,airplane13-bicycle3.JPEG
AlexNet,63,airplane,airplane,bird,airplane13-bird15.JPEG
AlexNet,64,airplane,airplane,boat,airplane13-boat3.JPEG
AlexNet,65,airplane,airplane,bottle,airplane13-bottle2.JPEG
AlexNet,66,airplane,airplane,car,airplane13-car14.JPEG
AlexNet,67,airplane,airplane,cat,airplane13-cat16.JPEG
AlexNet,68,airplane,airplane,chair,airplane13-chair15.JPEG
AlexNet,69,airplane,airplane,clock,airplane13-clock19.JPEG
AlexNet,70,bear,airplane,dog,airplane13-dog16.JPEG
AlexNet,71,elephant,airplane,elephant,airplane13-elephant9.JPEG
AlexNet,72,chair,airplane,keyboard,airplane13-keyboard1.JPEG
AlexNet,73,knife,airplane,knife,airplane13-knife6.JPEG
AlexNet,74,airplane,airplane,oven,airplane13-oven17.JPEG
AlexNet,75,airplane,airplane,truck,airplane13-truck18.JPEG
AlexNet,76,cat,airplane,bear,airplane14-bear12.JPEG
AlexNet,77,airplane,airplane,bicycle,airplane14-bicycle13.JPEG
AlexNet,78,bird,airplane,bird,airplane14-bird20.JPEG
AlexNet,79,airplane,airplane,boat,airplane14-boat14.JPEG
AlexNet,80,boat,airplane,bottle,airplane14-bottle9.JPEG
AlexNet,81,knife,airplane,car,airplane14-car13.JPEG
AlexNet,82,dog,airplane,cat,airplane14-cat6.JPEG
AlexNet,83,airplane,airplane,chair,airplane14-chair11.JPEG
AlexNet,84,chair,airplane,clock,airplane14-clock19.JPEG
AlexNet,85,cat,airplane,dog,airplane14-dog11.JPEG
AlexNet,86,dog,airplane,elephant,airplane14-elephant8.JPEG
AlexNet,87,airplane,airplane,keyboard,airplane14-keyboard12.JPEG
AlexNet,88,knife,airplane,knife,airplane14-knife1.JPEG
AlexNet,89,oven,airplane,oven,airplane14-oven9.JPEG
AlexNet,90,knife,airplane,truck,airplane14-truck8.JPEG
AlexNet,91,airplane,airplane,bear,airplane15-bear8.JPEG
AlexNet,92,keyboard,airplane,bicycle,airplane15-bicycle18.JPEG
AlexNet,93,bird,airplane,bird,airplane15-bird18.JPEG
AlexNet,94,airplane,airplane,boat,airplane15-boat8.JPEG
AlexNet,95,airplane,airplane,bottle,airplane15-bottle5.JPEG
AlexNet,96,airplane,airplane,car,airplane15-car13.JPEG
AlexNet,97,airplane,airplane,cat,airplane15-cat20.JPEG
AlexNet,98,airplane,airplane,chair,airplane15-chair18.JPEG
AlexNet,99,airplane,airplane,clock,airplane15-clock12.JPEG
AlexNet,100,chair,airplane,dog,airplane15-dog9.JPEG
AlexNet,101,airplane,airplane,elephant,airplane15-elephant8.JPEG
AlexNet,102,clock,airplane,keyboard,airplane15-keyboard5.JPEG
AlexNet,103,airplane,airplane,knife,airplane15-knife11.JPEG
AlexNet,104,airplane,airplane,oven,airplane15-oven20.JPEG
AlexNet,105,airplane,airplane,truck,airplane15-truck3.JPEG
AlexNet,106,airplane,airplane,bear,airplane16-bear4.JPEG
AlexNet,107,keyboard,airplane,bicycle,airplane16-bicycle9.JPEG
AlexNet,108,airplane,airplane,bird,airplane16-bird8.JPEG
AlexNet,109,airplane,airplane,boat,airplane16-boat16.JPEG
AlexNet,110,clock,airplane,bottle,airplane16-bottle8.JPEG
AlexNet,111,airplane,airplane,car,airplane16-car14.JPEG
AlexNet,112,bear,airplane,cat,airplane16-cat17.JPEG
AlexNet,113,airplane,airplane,chair,airplane16-chair12.JPEG
AlexNet,114,keyboard,airplane,clock,airplane16-clock12.JPEG
AlexNet,115,bear,airplane,dog,airplane16-dog9.JPEG
AlexNet,116,airplane,airplane,elephant,airplane16-elephant4.JPEG
AlexNet,117,keyboard,airplane,keyboard,airplane16-keyboard19.JPEG
AlexNet,118,airplane,airplane,knife,airplane16-knife4.JPEG
AlexNet,119,airplane,airplane,oven,airplane16-oven10.JPEG
AlexNet,120,airplane,airplane,truck,airplane16-truck8.JPEG
AlexNet,121,cat,airplane,bear,airplane17-bear15.JPEG
AlexNet,122,airplane,airplane,bicycle,airplane17-bicycle5.JPEG
