subj,trial,object_response,shape,texture,imagename
GoogLeNet,1,bottle,airplane,bear,airplane1-bear18.JPEG
GoogLeNet,2,clock,airplane,bicycle,airplane1-bicycle7.JPEG
GoogLeNet,3,boat,airplane,bird,airplane1-bird16.JPEG
GoogLeNet,4,airplane,airplane,boat,airplane1-boat16.JPEG
GoogLeNet,5,clock,airplane,bottle,airplane1-bottle5.JPEG
GoogLeNet,6,airplane,airplane,car,airplane1-car3.JPEG
GoogLeNet,7,bird,airplane,cat,airplane1-cat13.JPEG
GoogLeNet,8,clock,airplane,chair,airplane1-chair16.JPEG
GoogLeNet,9,clock,airplane,clock,airplane1-clock12.JPEG
GoogLeNet,10,bird,airplane,dog,airplane1-dog16.JPEG
GoogLeNet,11,clock,airplane,elephant,airplane1-elephant18.JPEG
GoogLeNet,12,chair,airplane,keyboard,airplane1-keyboard10.JPEG
GoogLeNet,13,airplane,airplane,knife,airplane1-knife2.JPEG
GoogLeNet,14,airplane,airplane,oven,airplane1-oven5.JPEG
GoogLeNet,15,airplane,airplane,truck,airplane1-truck10.JPEG
GoogLeNet,16,airplane,airplane,bear,airplane10-bear4.JPEG
GoogLeNet,17,airplane,airplane,bicycle,airplane10-bicycle12.JPEG
GoogLeNet,18,airplane,airplane,bird,airplane10-bird2.JPEG
GoogLeNet,19,airplane,airplane,boat,airplane10-boat17.JPEG
GoogLeNet,20,airplane,airplane,bottle,airplane10-bottle13.JPEG
GoogLeNet,21,airplane,airplane,car,airplane10-car17.JPEG
GoogLeNet,22,airplane,airplane,cat,airplane10-cat17.JPEG
GoogLeNet,23,airplane,airplane,chair,airplane10-chair12.JPEG
GoogLeNet,24,airplane,airplane,clock,airplane10-clock1.JPEG
GoogLeNet,25,airplane,airplane,dog,airplane10-dog14.JPEG
GoogLeNet,26,airplane,airplane,elephant,airplane10-elephant14.JPEG
GoogLeNet,27,airplane,airplane,keyboard,airplane10-keyboard11.JPEG
GoogLeNet,28,airplane,airplane,knife,airplane10-knife17.JPEG
GoogLeNet,29,airplane,airplane,oven,airplane10-oven9.JPEG
GoogLeNet,30,airplane,airplane,truck,airplane10-truck11.JPEG
GoogLeNet,31,cat,airplane,bear,airplane11-bear1.JPEG
