subj,trial,object_response,shape,texture,imagename
ResNet,1,airplane,airplane,bear,airplane1-bear18.JPEG
ResNet,2,knife,airplane,bicycle,airplane1-bicycle7.JPEG
ResNet,3,boat,airplane,bird,airplane1-bird16.JPEG
ResNet,4,airplane,airplane,boat,airplane1-boat16.JPEG
ResNet,5,airplane,airplane,bottle,airplane1-bottle5.JPEG
ResNet,6,airplane,airplane,car,airplane1-car3.JPEG
ResNet,7,bear,airplane,cat,airplane1-cat13.JPEG
ResNet,8,clock,airplane,chair,airplane1-chair16.JPEG
ResNet,9,clock,airplane,clock,airplane1-clock12.JPEG
ResNet,10,oven,airplane,dog,airplane1-dog16.JPEG
ResNet,11,clock,airplane,elephant,airplane1-elephant18.JPEG
ResNet,12,airplane,airplane,keyboard,airplane1-keyboard10.JPEG
ResNet,13,airplane,airplane,knife,airplane1-knife2.JPEG
ResNet,14,keyboard,airplane,oven,airplane1-oven5.JPEG
ResNet,15,airplane,airplane,truck,airplane1-truck10.JPEG
ResNet,16,boat,airplane,bear,airplane10-bear4.JPEG
ResNet,17,airplane,airplane,bicycle,airplane10-bicycle12.JPEG
ResNet,18,airplane,airplane,bird,airplane10-bird2.JPEG
ResNet,19,airplane,airplane,boat,airplane10-boat17.JPEG
ResNet,20,airplane,airplane,bottle,airplane10-bottle13.JPEG
ResNet,21,airplane,airplane,car,airplane10-car17.JPEG
ResNet,22,airplane,airplane,cat,airplane10-cat17.JPEG
ResNet,23,airplane,airplane,chair,airplane10-chair12.JPEG
ResNet,24,airplane,airplane,clock,airplane10-clock1.JPEG
ResNet,25,airplane,airplane,dog,airplane10-dog14.JPEG
ResNet,26,elephant,airplane,elephant,airplane10-elephant14.JPEG
ResNet,27,airplane,airplane,keyboard,airplane10-keyboard11.JPEG
ResNet,28,knife,airplane,knife,airplane10-knife17.JPEG
ResNet,29,airplane,airplane,oven,airplane10-oven9.JPEG
ResNet,30,airplane,airplane,truck,airplane10-truck11.JPEG
ResNet,31,bird,airplane,bear,airplane11-bear1.JPEG
ResNet,32,boat,airplane,bicycle,airplane11-bicycle12.JPEG
ResNet,33,airplane,airplane,bird,airplane11-bird18.JPEG
ResNet,34,airplane,airplane,boat,airplane11-boat7.JPEG
ResNet,35,clock,airplane,bottle,airplane11-bottle18.JPEG
ResNet,36,airplane,airplane,car,airplane11-car16.JPEG
ResNet,37,airplane,airplane,cat,airplane11-cat15.JPEG
ResNet,38,airplane,airplane,chair,airplane11-chair5.JPEG
ResNet,39,airplane,airplane,clock,airplane11-clock11.JPEG
ResNet,40,cat,airplane,dog,airplane11-dog12.JPEG
ResNet,41,airplane,airplane,elephant,airplane11-elephant3.JPEG
ResNet,42,keyboard,airplane,keyboard,airplane11-keyboard2.JPEG
ResNet,43,airplane,airplane,knife,airplane11-knife10.JPEG
ResNet,44,airplane,airplane,oven,airplane11-oven16.JPEG
ResNet,45,airplane,airplane,truck,airplane11-truck15.JPEG
ResNet,46,bear,airplane,bear,airplane12-bear4.JPEG
ResNet,47,bird,airplane,bicycle,airplane12-bicycle7.JPEG
ResNet,48,airplane,airplane,bird,airplane12-bird11.JPEG
ResNet,49,bird,airplane,boat,airplane12-boat11.JPEG
ResNet,50,airplane,airplane,bottle,airplane12-bottle13.JPEG
ResNet,51,airplane,airplane,car,airplane12-car1.JPEG
ResNet,52,bird,airplane,cat,airplane12-cat11.JPEG
ResNet,53,airplane,airplane,chair,airplane12-chair18.JPEG
ResNet,54,bird,airplane,clock,airplane12-clock20.JPEG
ResNet,55,cat,airplane,dog,airplane12-dog5.JPEG
ResNet,56,cat,airplane,elephant,airplane12-elephant7.JPEG
ResNet,57,airplane,airplane,keyboard,airplane12-keyboard15.JPEG
ResNet,58,bird,airplane,knife,airplane12-knife12.JPEG
ResNet,59,airplane,airplane,oven,airplane12-oven19.JPEG
ResNet,60,airplane,airplane,truck,airplane12-truck17.JPEG
ResNet,61,airplane,airplane,bear,airplane13-bear20.JPEG
ResNet,62,airplane,airplane,bicycle,airplane13-bicycle3.JPEG
