subj,trial,object_response,shape,texture,imagename
VGG,1,boat,airplane,bear,airplane1-bear18.JPEG
VGG,2,knife,airplane,bicycle,airplane1-bicycle7.JPEG
VGG,3,boat,airplane,bird,airplane1-bird16.JPEG
VGG,4,boat,airplane,boat,airplane1-boat16.JPEG
VGG,5,knife,airplane,bottle,airplane1-bottle5.JPEG
VGG,6,knife,airplane,car,airplane1-car3.JPEG
VGG,7,dog,airplane,cat,airplane1-cat13.JPEG
VGG,8,clock,airplane,chair,airplane1-chair16.JPEG
VGG,9,keyboard,airplane,clock,airplane1-clock12.JPEG
VGG,10,airplane,airplane,dog,airplane1-dog16.JPEG
VGG,11,clock,airplane,elephant,airplane1-elephant18.JPEG
VGG,12,oven,airplane,keyboard,airplane1-keyboard10.JPEG
VGG,13,airplane,airplane,knife,airplane1-knife2.JPEG
VGG,14,clock,airplane,oven,airplane1-oven5.JPEG
VGG,15,airplane,airplane,truck,airplane1-truck10.JPEG
VGG,16,airplane,airplane,bear,airplane10-bear4.JPEG
VGG,17,airplane,airplane,bicycle,airplane10-bicycle12.JPEG
VGG,18,airplane,airplane,bird,airplane10-bird2.JPEG
VGG,19,clock,airplane,boat,airplane10-boat17.JPEG
VGG,20,airplane,airplane,bottle,airplane10-bottle13.JPEG
VGG,21,airplane,airplane,car,airplane10-car17.JPEG
VGG,22,airplane,airplane,cat,airplane10-cat17.JPEG
VGG,23,airplane,airplane,chair,airplane10-chair12.JPEG
VGG,24,airplane,airplane,clock,airplane10-clock1.JPEG
VGG,25,airplane,airplane,dog,airplane10-dog14.JPEG
VGG,26,elephant,airplane,elephant,airplane10-elephant14.JPEG
VGG,27,airplane,airplane,keyboard,airplane10-keyboard11.JPEG
VGG,28,airplane,airplane,knife,airplane10-knife17.JPEG
VGG,29,oven,airplane,oven,airplane10-oven9.JPEG
VGG,30,airplane,airplane,truck,airplane10-truck11.JPEG
VGG,31,cat,airplane,bear,airplane11-bear1.JPEG
VGG,32,airplane,airplane,bicycle,airplane11-bicycle12.JPEG
VGG,33,cat,airplane,bird,airplane11-bird18.JPEG
VGG,34,airplane,airplane,boat,airplane11-boat7.JPEG
VGG,35,airplane,airplane,bottle,airplane11-bottle18.JPEG
VGG,36,bird,airplane,car,airplane11-car16.JPEG
VGG,37,bird,airplane,cat,airplane11-cat15.JPEG
VGG,38,airplane,airplane,chair,airplane11-chair5.JPEG
VGG,39,airplane,airplane,clock,airplane11-clock11.JPEG
VGG,40,bicycle,airplane,dog,airplane11-dog12.JPEG
VGG,41,bicycle,airplane,elephant,airplane11-elephant3.JPEG
VGG,42,oven,airplane,keyboard,airplane11-keyboard2.JPEG
VGG,43,airplane,airplane,knife,airplane11-knife10.JPEG
VGG,44,airplane,airplane,oven,airplane11-oven16.JPEG
VGG,45,airplane,airplane,truck,airplane11-truck15.JPEG
